CLIENT NUMBER,CLIENT NAME,Year,Month,Status,Notes,Renewed On
,,2026,January,Pending,,
A5231,,2026,January,Renewed,,2026-02-18
B5340,,2026,January,Pending,,
B5447,,2026,January,Pending,,
B1044,,2026,January,Pending,,
B4903,,2026,January,Pending,,
C5053,,2026,January,Pending,,
C5138,,2026,January,Pending,,
C5029,,2026,January,Pending,,
C5280,,2026,January,Pending,,
C5260,,2026,January,Pending,,
C0847,,2026,January,Pending,,
D2022,,2026,January,Pending,,
D0926,,2026,January,Pending,,
G,,2026,January,Pending,,
A4913,,2026,January,Pending,,
L5155,,2026,January,Pending,,
M7296,,2026,January,Pending,,
M5521,,2026,January,Pending,,
A1987,,2026,January,Pending,,
M8158,,2026,January,Pending,,
M8160,,2026,January,Pending,,
M1811,,2026,January,Pending,,
O4859,,2026,January,Pending,,
R5041,,2026,January,Pending,,
R5346,,2026,January,Pending,,
B5606,,2026,January,Pending,,
S5621,,2026,January,Pending,,
M6331,,2026,January,Pending,,
T5103,,2026,January,Pending,,
S1982,,2026,January,Pending,,
W4938,,2026,January,Pending,,
nan,,2026,January,Pending,,
